,title,latestcomp,gbindex
119,Memoirs of Marguerite de Valois,1615,3841
120,Memoirs of Marguerite de Valois,1615,3841
123,The works of Aphra Behn,1689,29854
124,Manon Lescaut,1731,468
125,Strange stories from a Chinese studio,1740,43628
126,Memoirs of Emma Courtney,1802,41256
128,"A cup of sweets that can never cloy : or, Delightful tales for good children",1814,42024
129,Persuasion,1817,36777
130,The shepherd of Salisbury Plain,1825,31697
131,Christmas stories,1827,35397
132,The wine-ghosts of Bremen;,1827,32064
134,The princess and Curdie,1832,36612
137,Oliver Twist,1839,56586
138,The Tower of London,1840,49850
140,Modern flirtations,1841,43358
141,Cousin Lucy's conversations,1841,50793
142,Arthur O'Leary,1844,32424
145,St. Patrick's eve,1845,32083
150,The household of Sir Thomas More,1852,45187
152,Rachel Gray,1856,36160
153,Vassall Morton,1856,39768
154,Nuts and nutcrackers,1857,35500
156,Little Frankie and his mother,1860,34830
157,"The colloquies of Edward Osborne, citizen and clothworker, of London",1860,51557
158,Rutledge,1860,40385
160,Rachel Ray,1862,34000
161,"The struggles of Brown, Jones, and Robinson",1862,27533
162,The duchess of Trajetto,1863,42296
163,Barrington,1863,34883
164,Frank before Vicksburg,1864,42099
165,Chronicles of the Scho?nberg-Cotta family,1864,36433
166,Tales from the operas,1864,57605
167,Ravenshoe,1864,41636
168,Little masterpieces,1864,39716
169,Tony Butler,1865,33604
170,Luttrell of Arran,1865,35717
171,Brave Old Salt;,1866,37907
173,Bulfinch's mythology,1867,56644
174,The Bramleighs of Bishop's Folly,1868,32561
175,Wenderholme,1869,40874
176,Lion Ben of Elm Island,1869,50993
178,The Vee-Boers,1870,34667
180,Mugby Junction,1870,27924
181,A Christmas carol,1870,30368
182,Marguerite de Valois,1870,33609
184,Vagabond adventures,1870,58982
185,The Prussian terror,1870,36016
187,Ekkehard,1872,35847
188,Ekkehard,1872,35846
189,The Romance of a Mummy and Egypt,1872,27724
190,Sir Jasper Carew,1872,33081
191,Jack Hinton,1872,33082
192,"The progressionists, and Angela",1873,33573
194,A princess of Thule,1873,49786
195,Holden with the cords,1874,56980
196,Waldfried,1874,32446
197,My opinions and Betsey Bobbet's,1875,55594
198,Baron Bruno;,1875,39274
199,Jessamine,1876,36414
200,The history of Margaret Catchpole,1877,39326
202,Kathie's soldiers,1877,40525
203,Landolin,1878,33008
204,Philochristus,1878,48843
205,Goblin tales of Lancashire,1878,39712
206,Hathercourt,1878,43168
209,Haworth's,1879,58183
210,Greene Ferne farm,1880,37046
211,The Macdermots of Ballycloran,1880,29000
212,Homo sum;,1880,48787
213,Louisiana,1880,35300
214,The brothers Karamazov,1881,28054
217,The Land-leaguers,1882,30606
219,Zigzag journeys in Europe,1882,33319
220,Guy Fawkes,1882,37750
222,Stories of the days of King Arthur,1882,44426
231,Mrs. Peixada,1886,52702
234,The ordeal of Richard Feverel : a history of a father and son,1888,34858
235,Tom Brown at Rugby,1888,33777
236,Pictures of Hellas;,1888,56929
238,The admirable Lady Biddy Fane,1888,34476
243,The romance of Dollard,1889,50418
248,The story of Tonty,1890,41273
252,Strangers and wayfarers,1890,31857
254,Pepita Ximenez,1891,30236
255,Doctor Cupid,1891,35548
256,Mary Magdalen;,1891,31510
257,Countess Erika's apprenticeship,1891,35531
258,An American girl in London,1891,45925
259,Cynthia Wakeham's money,1892,36758
260,Miss Dividends,1892,39824
261,Nevermore,1892,34240
262,Christmas stories from French and Spanish writers,1892,47333
263,Alive in the jungle,1892,43595
265,The works of Guy de Maupassant,1893,33928
266,Cleopatra,1894,36294
267,Cleopatra,1894,36294
269,Shireen and her friends,1895,38236
270,The life of Nancy,1895,31473
271,Rose of Dutcher's Coolly,1895,35805
274,The Cid Campeador;,1895,41990
275,The story of Jack Ballister's fortunes,1895,49985
276,The chronicles of Count Antonio,1895,40570
277,A child of the Jago,1896,36958
280,In the village of Viger,1896,48998
281,Chronicles of Martin Hewitt,1896,37820
282,Alice's adventures in Wonderland,1896,28885
283,Trumpeter Fred;,1896,37415
285,In the days of Washington;,1896,41420
286,The heart of Princess Osra,1896,41438
287,Prisoners of conscience,1897,31835
288,The spoils of Poynton,1897,33325
291,Let us follow Him,1897,41988
292,The Rock of the Lion,1897,47785
293,Tales from the veld,1897,36602
294,Dotty Dimple at school,1897,48951
295,The mission of Poubalov,1897,46774
296,Aaron in the wildwoods,1897,52782
297,Vagaries,1898,38894
298,Intra Muros,1898,34683
299,John Burnet of Barns;,1898,40014
300,The princess and Joe Potter;,1898,32249
301,Pan Michael,1898,37361
302,Tom Ossington's ghost,1898,40453
303,With the Black Prince,1898,46233
304,The Jessamy bride,1898,51951
305,Soldier Rigdale;,1899,44165
307,Cyrano de Bergerac;,1899,54802
310,A trooper Galahad,1899,37688
688,Nevermore,1892,34240
695,The prophet of the Great Smoky mountains,1895,35619
697,In Beaver Cove and elsewhere,1892,54351
702,Mariposilla;,1895,39709
705,Robert Helmont;,1892,51235
709,Folk-tales of Bengal,1894,38488
710,The history of Sandford and Merton : a work intended for the use of children.,1789,30274
714,Robinson Crusoe,1731,48387
718,The Prince of Carency;,1705,AulnMHJfic
724,Amusements Serious and Comical ,1704,chadwyck|Early_English_Prose_Fiction/ee21010.01
725,"Secret memoirs and manners of several persons of quality, of both sexes, from the New Atalantis, an island in the Mediteranean",1709,chadwyck|Eighteenth-Century_Fiction/manley.02
726,Memoirs of Europe towards the close of the eighth century,1710,chadwyck|Eighteenth-Century_Fiction/manley.01
730,The history of Jemmy and Jenny Jessamy,1753,chadwyck|Eighteenth-Century_Fiction/haywood.09
731,The history of Jemmy and Jenny Jessamy,1753,chadwyck|Eighteenth-Century_Fiction/haywood.09
732,The history of Jemmy and Jenny Jessamy,1753,chadwyck|Eighteenth-Century_Fiction/haywood.09
750,The Cry,1754,chadwyck|Eighteenth-Century_Fiction/fieldinz.01
751,The Cry,1754,chadwyck|Eighteenth-Century_Fiction/fieldinz.01
752,"The life of John Buncle, esq.",1766,chadwyck|Eighteenth-Century_Fiction/amory.01
753,"The life of John Buncle, esq.",1766,chadwyck|Eighteenth-Century_Fiction/amory.01
755,"Chrysal; or, The adventures of a guinea",1767,chadwyck|Eighteenth-Century_Fiction/johnston.01
756,"Chrysal; or, The adventures of a guinea",1767,chadwyck|Eighteenth-Century_Fiction/johnston.01
762,Pompey the Little,1759,chadwyck|Eighteenth-Century_Fiction/coventry.01
